provenance,setting,domain,short_name,family,groups
SIMULATED,Reuse,TD-SV1,Brief → single slide,Structured visuals,160
SIMULATED,Collect,TD-SV2,Screenshot → webpage,Structured visuals,160
SIMULATED,Reuse,TD-SV3,Data → visualization,Structured visuals,160
SIMULATED,Reuse,TD-SV4,Specification → webpage,Structured visuals,160
SIMULATED,Collect,TD-SV5,Sources → slide deck,Structured visuals,160
SIMULATED,Collect,TD-SV6,Topic → slide deck,Structured visuals,160
SIMULATED,Reuse,TD-IG1,Detailed captioning,Images / 3D,160
SIMULATED,Reuse,TD-IG2,Text → image,Images / 3D,160
SIMULATED,Collect,TD-IG3,Instruction-based editing,Images / 3D,160
SIMULATED,Collect,TD-IG4,Super-resolution,Images / 3D,160
SIMULATED,Reuse,TD-IG5,Text → 3D,Images / 3D,160
SIMULATED,Collect,TD-IG6,Image → 3D,Images / 3D,160
SIMULATED,Reuse,TD-TG1,Document summarization,Text generation,160
SIMULATED,Collect,TD-TG2,RAG long-form answers,Text generation,160
SIMULATED,Reuse,TD-TG3,Translation,Text generation,160
SIMULATED,Collect,TD-TG4,Instruction constraints,Text generation,160
SIMULATED,Reuse,TD-TG5,Open dialogue,Text generation,160
SIMULATED,Reuse,TD-AR1,Research ideas,Automated research,160
SIMULATED,Collect,TD-AR2,Ablation plans,Automated research,160
SIMULATED,Reuse,TD-AR3,Table → insight,Automated research,160
SIMULATED,Collect,TD-AR4,Related work,Automated research,160
SIMULATED,Collect,TD-AR5,Peer-review critique,Automated research,160
